ticker,cutoff_utc,cutoff_label,cutoff_local,trade_ts_utc,price,source_trade_ts_local
KXWLEADER-25-VP,2025-07-04 12:00:00+00:00,2025_07_04_open_0500_PT,2025-07-04 05:00:00-07:00,2025-07-04 08:58:09.066532+00:00,0.41,2025-07-04 01:58:09.066532-07:00
KXBILATERALMENTION-25JUN06-NATO,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-04 17:31:29.802129+00:00,0.44,2025-07-04 10:31:29.802129-07:00
KXBOYCOTTWC-26,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-06-26 19:56:00.221196+00:00,0.13,2025-06-26 12:56:00.221196-07:00
KXELECTUKRAINE-26,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-03 05:05:52.811586+00:00,0.12,2025-07-02 22:05:52.811586-07:00
KXEUROVISIONTELEVOTE-25-UKR,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,,,
KXFLIGHTSRUSSIA-25,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-06-30 21:45:37.220625+00:00,0.19,2025-06-30 14:45:37.220625-07:00
KXFRIDMAN-26JAN01-VP,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-04-27 20:49:20.564258+00:00,0.12,2025-04-27 13:49:20.564258-07:00
KXFTACOUNTRIES-26-RUS,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-04 18:19:33.171535+00:00,0.08,2025-07-04 11:19:33.171535-07:00
KXLEADERMEETPOPE-26-VPUT,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-06-24 10:04:05.949292+00:00,0.14,2025-06-24 03:04:05.949292-07:00
KXLEADEROUT-25-VPUT,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-04 09:35:30.020182+00:00,0.01,2025-07-04 02:35:30.020182-07:00
KXMARALAGO-26-VZ,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-03 16:12:45.633080+00:00,0.1,2025-07-03 09:12:45.633080-07:00
KXMENWORLDCUP-26-UA,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,,,
KXMOONMAN-31-R,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-03-28 12:27:09.813063+00:00,0.01,2025-03-28 05:27:09.813063-07:00
KXMUSKVISIT-25-RUS,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-06-27 13:42:01.711547+00:00,0.08,2025-06-27 06:42:01.711547-07:00
KXNOBELPEACE-25-VZEL,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-04 21:55:03.893627+00:00,0.15,2025-07-04 14:55:03.893627-07:00
KXPOPEVISITNEXT-26-UA,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-02 15:44:50.549183+00:00,0.08,2025-07-02 08:44:50.549183-07:00
KXPOPEVISITSECOND-26-UA,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,,,
KXPRESVISIT-26-RU,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-04 18:52:32.273698+00:00,0.14,2025-07-04 11:52:32.273698-07:00
KXPRESVISIT-26-UKR,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-01 06:14:58.181479+00:00,0.11,2025-06-30 23:14:58.181479-07:00
KXSECSTATEVISIT-26-RUS,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-07-03 11:11:46.711685+00:00,0.24,2025-07-03 04:11:46.711685-07:00
KXTIMEDECADE20S-30-VZEL,2025-07-05 00:00:00+00:00,2025_07_04_close_1700_PT,2025-07-04 17:00:00-07:00,2025-06-02 19:56:39.708094+00:00,0.11,2025-06-02 12:56:39.708094-07:00
